"Story","Title","Result","Date","Stability","Duration (s)"
"Đăng nhập","01_[Đăng nhập] Đăng nhập thành công","SUCCESS","2021-02-26T10:04:30.002+07:00[Asia/Ho_Chi_Minh]","0.0","24.03"
"Đăng nhập","02_[Đăng nhập] Đăng nhập không thành công","SUCCESS","2021-02-26T10:04:54.035+07:00[Asia/Ho_Chi_Minh]","0.0","37.32"
"Thêm cấu hình danh mục liên quan","01_[QL Cấu hình danh mục - Thêm] Kiểm tra Thêm cấu hình thành công","SUCCESS","2021-02-26T10:05:31.359+07:00[Asia/Ho_Chi_Minh]","0.0","146.72"
"Thêm cấu hình danh mục liên quan","02_[QL Cấu hình danh mục - Thêm] Thêm mới cấu hình không thành công","SUCCESS","2021-02-26T10:07:58.081+07:00[Asia/Ho_Chi_Minh]","0.0","384.09"
"Thêm cấu hình danh mục liên quan","03_[QL Cấu hình danh mục - Thêm] Kiểm tra chức năng autocomplete thành công","FAILURE","2021-02-26T10:14:22.169+07:00[Asia/Ho_Chi_Minh]","0.0","604.56"
"Sửa cấu hinh danh mục liên quan","01_[QL Cấu hình danh mục - Sửa] Kiểm tra Sửa cấu hình thành công","SUCCESS","2021-02-26T10:24:26.73+07:00[Asia/Ho_Chi_Minh]","0.0","403.21"
"Sửa cấu hinh danh mục liên quan","02_[QL Cấu hình danh mục - Sửa] Kiểm tra Sửa cấu hình không thành công","SUCCESS","2021-02-26T10:31:09.944+07:00[Asia/Ho_Chi_Minh]","0.0","901.62"
"Sửa cấu hinh danh mục liên quan","03_[QL Cấu hình danh mục - Sửa] Kiểm tra chức năng autocomplete thành công","FAILURE","2021-02-26T10:46:11.564+07:00[Asia/Ho_Chi_Minh]","0.0","1539.38"
"Xoá cấu hình danh mục liên quan","01_[QL Cấu hình danh mục - Xoá] Kiểm tra Xoá cấu hình thành công","SUCCESS","2021-02-26T11:11:50.946+07:00[Asia/Ho_Chi_Minh]","0.0","95.86"
"Tìm kiếm danh mục cấu hình liên quan","01_[QL Cấu hình danh mục - Tìm kiếm] Kiểm tra tìm kiếm thành công","SUCCESS","2021-02-26T11:13:26.993+07:00[Asia/Ho_Chi_Minh]","0.0","1154.13"
"Tìm kiếm danh mục cấu hình liên quan","02_[QL Cấu hình danh mục - Tìm kiếm] Kiểm tra autocomplete thành công","FAILURE","2021-02-26T11:32:41.128+07:00[Asia/Ho_Chi_Minh]","0.0","537.89"
